17:19:57.586 : tid: MN0: Create (tid:23416)
17:19:57.590 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
17:19:57.591 : tid: MN0: Build date: [(Feb 19 2024) 17:02:37]
17:19:57.591 : tid: MN0: cores: available: 16, utilized: 15
17:19:57.708 : tid:   1: ==========================================================
17:19:57.709 : tid:   1: New test: _oneContact=1, maxContacts=1
17:19:57.713 : tid:   1: maxPCNodeVerts=4000
17:19:57.714 : tid:   1: use pointcloud multithread
17:19:57.715 : tid:   1: ==========================================================
17:19:57.717 : tid:   1: 0: TestType='DirectBelow',  topBottom=8 CheckInside {
17:19:57.727 : tid:   1:  0 exec {
17:19:57.729 : tid:   1:   Found 72 pairs
17:19:57.730 : tid:   1:   3D_object	0
17:19:57.731 : tid:   1:   3D_object	1
17:19:57.754 : tid:   1:   triangle	(-23.487; 6.436; 7.147)	(-21.115; 0.000; 10.840)	(-21.115; 0.000; -2.284)	0
17:19:57.755 : tid:   1:   triangle	(-22.581; 1.920; -1.196)	(-22.581; 1.806; -1.130)	(-22.581; 1.938; -1.130)	1
17:19:57.756 : tid:   1:   triangle	(-23.487; 6.436; 7.147)	(-21.115; 0.000; 10.840)	(-21.115; 0.000; -2.284)	0
17:19:57.756 : tid:   1:   triangle	(-22.581; 1.806; -1.261)	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.244)	1
17:19:57.757 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.758 : tid:   1:   triangle	(-22.581; 1.741; -1.244)	(-22.581; 1.693; -1.196)	(-22.581; 1.806; -1.130)	1
17:19:57.758 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.759 : tid:   1:   triangle	(-22.581; 1.693; -1.196)	(-22.581; 1.675; -1.130)	(-22.581; 1.806; -1.130)	1
17:19:57.760 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.760 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -1.261)	(-22.581; 1.741; -1.244)	1
17:19:57.761 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.762 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.920; -1.196)	(-22.581; 1.872; -1.244)	1
17:19:57.762 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.763 : tid:   1:   triangle	(-22.581; 1.920; -1.196)	(-22.581; 1.806; -1.130)	(-22.581; 1.938; -1.130)	1
17:19:57.764 : tid:   1:   triangle	(-27.020; 0.000; 1.325)	(-21.115; 0.000; -2.284)	(-21.115; 0.000; 10.840)	0
17:19:57.764 : tid:   1:   triangle	(-22.581; 1.806; -1.261)	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.244)	1
17:19:57.765 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.766 : tid:   1:   triangle	(-22.581; 1.693; -1.065)	(-22.581; 1.806; -1.130)	(-22.581; 1.675; -1.130)	1
17:19:57.766 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.767 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.693; -1.065)	(-22.581; 1.741; -1.017)	1
17:19:57.768 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.768 : tid:   1:   triangle	(-22.581; 1.741; -1.017)	(-22.581; 1.806; -0.999)	(-22.581; 1.806; -1.130)	1
17:19:57.769 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.769 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.017)	(-22.581; 1.920; -1.065)	1
17:19:57.770 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.770 : tid:   1:   triangle	(-22.581; 1.872; -1.017)	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -0.999)	1
17:19:57.771 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.771 : tid:   1:   triangle	(-22.581; 1.920; -1.065)	(-22.581; 1.938; -1.130)	(-22.581; 1.806; -1.130)	1
17:19:57.772 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.773 : tid:   1:   triangle	(-22.581; 1.693; -1.065)	(-22.581; 1.806; -1.130)	(-22.581; 1.675; -1.130)	1
17:19:57.774 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.774 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.693; -1.065)	(-22.581; 1.741; -1.017)	1
17:19:57.775 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.775 : tid:   1:   triangle	(-22.581; 1.741; -1.017)	(-22.581; 1.806; -0.999)	(-22.581; 1.806; -1.130)	1
17:19:57.776 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.777 : tid:   1:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.017)	(-22.581; 1.920; -1.065)	1
17:19:57.778 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.778 : tid:   1:   triangle	(-22.581; 1.872; -1.017)	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -0.999)	1
17:19:57.779 : tid:   1:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
17:19:57.780 : tid:   1:   triangle	(-22.581; 1.920; -1.065)	(-22.581; 1.938; -1.130)	(-22.581; 1.806; -1.130)	1
17:19:57.780 : tid:   1:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
17:19:57.781 : tid:   1:   triangle	(-22.581; 1.741; -1.244)	(-22.581; 1.693; -1.196)	(-22.581; 1.806; -1.130)	1
